,GAMA_ID,ID,RA,DEC,SCORE,type,corrected_stellar_mass,zlens,sigma_lens,zsource,sigma_source,R,dlens,dsource,Z,STELLAR_MASS,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,prob,error
0,600305.0,245.0,134.75916,0.23814000000000002,12.0,PG + ELG,163400007680.0,0.24335892498493195,10.951899528503418,0.6346657872200012,3.5537748336791988,1.3482877016067505,755.0599481115347,1363.9464708767873,0.2433999925851822,163400007680.0,0.24335892498493195,10.951899528503418,40.0,0.6346657872200012,3.5537748336791988,45.0,2.63576889038086,2.63576889038086,1.0,40.55467224121094
1,419067.0,1179.0,138.61973999999998,2.63477,8.0,PG + ELG,144600006656.0,0.1876792907714844,11.541552543640135,0.7637652158737183,4.00849199295044,1.3984817266464231,617.2262113425436,1473.1809503284203,0.18780000507831573,144600006656.0,0.1876792907714844,11.541552543640135,40.0,0.7637652158737183,4.00849199295044,43.0,2.8663170337677,2.8663170337677,1.0,44.7299919128418
2,387244.0,1819.0,135.56916999999999,2.36495,4.0,PG + ELG,120600002560.0,0.21772262454032887,12.368897438049315,0.7123265266418457,3.3477907180786133,1.2018797397613523,693.7250199806349,1433.4948799691867,0.21770000457763672,120600002560.0,0.21772262454032887,12.368897438049315,40.0,0.7123265266418457,3.3477907180786133,47.0,2.7854623794555664,2.7854623794555664,1.0,38.65888595581055
3,3611088.0,1743.0,135.38005,-1.29831,4.0,PG + ELG,89130000384.0,0.23190343379974365,9.052865982055664,0.7715562582015991,4.793195724487305,1.4560488462448118,728.085536019757,1478.7877627463336,0.23190000653266907,89130000384.0,0.23190343379974365,9.052865982055664,40.0,0.7715562582015991,4.793195724487305,43.0,3.2919194698333736,3.2919194698333736,0.9999277591705322,43.36043930053711
4,373093.0,2897.0,139.30637,1.19776,4.0,PG + ELG,326899990528.0,0.3839914500713349,8.714599609375,0.8374122977256775,4.3738999366760245,1.2301068305969238,1035.995243256812,1522.2696131805583,0.3840999901294708,326899990528.0,0.3839914500713349,8.714599609375,40.0,0.8374122977256775,4.3738999366760245,43.0,3.5557072162628174,3.5557072162628174,0.9998424649238586,54.19796371459961
5,585328.0,3234.0,182.36838,-0.00889,18.0,PG + ELG,134699999232.0,0.20466271042823792,11.430782318115234,0.7887411713600159,3.3716747760772705,1.2233372926712036,661.1026140880804,1490.7976199888435,0.20469999313354492,134699999232.0,0.20466271042823792,11.430782318115234,40.0,0.7887411713600159,3.3716747760772705,43.0,2.7561285495758057,2.7561285495758057,1.0,39.34497833251953
6,561058.0,3349.0,182.5603,-0.4954,8.0,PG + ELG,118200000512.0,0.3202874958515167,9.753260612487793,0.8555517792701721,3.6351492404937744,1.2047239542007446,919.475109156616,1533.0893385187865,0.32019999623298645,118200000512.0,0.3202874958515167,9.753260612487793,40.0,0.8555517792701721,3.6351492404937744,43.0,3.0174126625061035,3.0174126625061035,0.9999997019767758,48.4037971496582
7,84425.0,2562.0,177.77478,0.42791,8.0,PG + ELG,136400003072.0,0.28586745262146,12.25743293762207,0.6736734509468079,3.1225991249084486,1.2244791984558103,849.3615798050406,1400.4167518335323,0.2858999967575073,136400003072.0,0.28586745262146,12.25743293762207,40.0,0.6736734509468079,3.1225991249084486,43.0,2.550144672393799,2.550144672393799,1.0,38.429664611816406
8,165293.0,2144.0,180.6015,-2.74642,8.0,PG + ELG,68400001024.0,0.2594617307186127,9.833870887756348,0.8707607984542847,3.698742389678955,1.241802215576172,791.8334519671724,1541.800356688003,0.25949999690055847,68400001024.0,0.2594617307186127,9.833870887756348,40.0,0.8707607984542847,3.698742389678955,43.0,2.9785277843475337,2.9785277843475337,0.9999997019767758,45.05146789550781
9,559216.0,2507.0,176.11624,-0.61902,4.0,PG + ELG,123099996160.0,0.2502009868621826,9.004105567932129,0.7136363387107849,3.6533803939819336,1.3253967761993408,770.8459556853941,1434.5651871120278,0.2502000033855438,123099996160.0,0.2502009868621826,9.004105567932129,40.0,0.7136363387107849,3.6533803939819336,45.0,2.756442785263061,2.756442785263061,0.9999992847442628,50.80804824829102
